latitude,longitude,altitude,geometry,NDVI_max,NDVI_mean,NDVI_min,NDVI_stdDev,area_name,centroid_lat,centroid_lon,geometry_type
25.301606582842673,55.51694650181045,,Point,0.7109884596086302,0.1014891782936124,-0.04940210170310424,0.10787889303246997,muwaileh_suburb,25.30160658284267,55.516946501810445,centroid
25.353150153476797,55.381179548197984,,Point,0.6100527886160202,0.07439392743059982,-0.061632155907429965,0.10380555293966662,jubail,25.353150153476793,55.38117954819799,centroid
25.345814377705064,55.42064872601926,,Point,0.6696436965309768,0.08204583471670931,-0.04795204795204795,0.09201337774432154,halwan,25.345814377705064,55.42064872601926,centroid
25.333736431109116,55.44437469804671,,Point,0.6693140794223826,0.10038302636408644,-0.046877828054298645,0.11836984303733694,mughaider_suburb,25.333736431109116,55.44437469804671,centroid
25.33207661442451,55.383031074729764,,Point,0.699210475640285,0.005390890505497737,-0.2477829942618675,0.19427852199508125,majaz,25.33207661442451,55.383031074729764,centroid
25.30497190293442,55.47028598456075,,Point,0.7180837289598619,0.12467577564885572,-0.1499735029146794,0.15255469081028658,zahia,25.30497190293442,55.47028598456075,centroid
25.320591838363047,55.42337704306494,,Point,0.671521319529742,0.03457872911055538,-0.09431192660550458,0.07447676358397916,industrial,25.320591838363047,55.42337704306494,centroid
25.277250476335052,55.498032317649994,,Point,0.65748649119749,0.08618627016805376,-0.09924363969745588,0.08563060012588497,noaf,25.277250476335052,55.498032317649994,centroid
25.34675799079763,55.390771835587586,,Point,0.7069399496583962,0.0652573294784666,-0.09845053635280096,0.15461680892585958,qasmiyah,25.34675799079763,55.39077183558759,centroid
25.33864652923724,55.397503397950715,,Point,0.6499684087011464,0.01869773880983525,-0.09254709254709255,0.06571863462596242,abushagarah,25.338646529237245,55.397503397950715,centroid
25.350264122839402,55.404641471119064,,Point,0.6554880896777207,0.054445570081213604,-0.04975241688281066,0.0700966452626542,yarmouk,25.350264122839402,55.404641471119064,centroid
25.354902198932898,55.397260322015185,,Point,0.6705258506407423,0.06298169853885212,-0.09259814204375187,0.10494120217188316,mussalla,25.3549021989329,55.397260322015185,centroid
25.35794012365331,55.39104854237101,,Point,0.4761061946902655,0.03314606568724133,-0.09791044776119404,0.0826438613978091,ghuwair,25.35794012365331,55.391048542371,centroid
